STOCK,ESG RISK RATING,CONTROVERSY,ESG+CONT
HEROMOTOCO,12,1,13
TECHM,12,1,13
WIPRO,13,2,15
EICHERMOT,13,2,15
HCLTECH,13,2,15
ADANIPORTS,12,4,16
TCS,14,2,16
TITAN,15,2,17
INFY,15,2,17
BAJAJ-AUTO,16,1,17
DIVISLAB,17.9,2,19.9
BAJFINANCE,19.49,1,20.49
HDFC,19,2,21
HDFCLIFE,20.01,1,21.01
BHARTIARTL,20,3,23
KOTAKBANK,23,2,25
SBILIFE,25.66,1,26.66
POWERGRID,26.49,1,27.49
BRITANNIA,26.74,1,27.74
UPL,24,4,28
HINDUNILVR,26,2,28
BAJAJFINSV,27,1,28
AXISBANK,26,2,28
M&M,27,2,29
MARUTI,26,4,30
ICICIBANK,27,3,30
ITC,28,2,30
APOLLOHOSP,28.22,2,30.22
INDUSINDBK,28.24,2,30.24
NESTLEIND,29,3,32
SBIN,30,2,32
ASIANPAINT,31,1,32
TATACONSUM,29.75,3,32.75
CIPLA,31,2,33
TATAMOTORS,31,2,33
HDFCBANK,31.45,2,33.45
DRREDDY,32,3,35
LT,34,2,36
HINDALCO,34,3,37
BPCL,35,2,37
JSWSTEEL,35,3,38
ULTRACEMCO,36,2,38
SUNPHARMA,36,3,39
TATASTEEL,36,3,39
RELIANCE,37,2,39
NTPC,37,4,41
ADANIENT,36.41,5,41.41
COALINDIA,42,3,45
GRASIM,43,2,45
ONGC,55,5,60